German,English
berg,mountain
Stopp,stop
einmal,once
Basis,base
hören,hear
Pferd,horse
Schnitt,cut
sicher,sure
beobachten,watch
Farbe,color
Gesicht,face
Holz,wood
Haupt-,main
geöffnet,open
scheinen,seem
zusammen,together
nächste,next
weiß,white
Kinder,children
Start,begin
bekam,got
gehen,walk
Beispiel,example
erleichtern,ease
Papier,paper
Gruppe,group
immer,always
Musik,music
diejenigen,those
beide,both
Marke,mark
oft,often
Schreiben,letter
bis,until
Meile,mile
Fluss,river
Auto,car
Füße,feet
Pflege,care
zweite,second
genug,enough
Ebene,plain
Mädchen,girl
üblich,usual
jung,young
bereit,ready
oben,above
je,ever
rot,red
Liste,list
obwohl,though
fühlen,feel
Vortrag,talk
Vogel,bird
bald,soon
Körper,body
Hund,dog
Familie,family
direkt,direct
Pose,pose
verlassen,leave
Lied,song
messen,measure
Tür,door
Produkt,product
schwarz,black
kurz,short
Zahl,numeral
Klasse,class
Wind,wind
Frage,question
passieren,happen
vollständig,complete
Schiff,ship
Bereich,area
Hälfte,half
Stein,rock
bestellen,order
Feuer,fire
Süden,south
Problem,problem
Stück,piece
sagte,told
wusste,knew
passieren,pass
seit,since
obere,top
ganze,whole
König,king
Straße,street
Zoll,inch
multiplizieren,multiply
nichts,nothing
Kurs,course
bleiben,stay
Rad,wheel
voll,full
Kraft,force
blau,blue
Objekt,object
entscheiden,decide
Oberfläche,surface
tief,deep
Mond,moon
Insel,island
Fuß,foot
System,system
beschäftigt,busy
Prüfung,test
Rekord,record
Boot,boat
gemeinsam,common
goldenen,gold
möglich,possible
Flugzeug,plane
statt,stead
trocken,dry
Wunder,wonder
Lachen,laugh
tausend,thousand
vor,ago
lief,ran
überprüfen,check
Spiel,game
Form,shape
gleichsetzen,equate
heiß,hot
Fehl,miss
gebracht,brought
Wärme,heat
Schnee,snow
Reifen,tire
bringen,bring
ja,yes
entfernt,distant
füllen,fill
Osten,east
malen,paint
Sprache,language
unter,among
Einheit,unit
Macht,power
Stadt,town
fein,fine
sicher,certain
fliegen,fly
fallen,fall
führen,lead
Schrei,cry
dunkel,dark
Maschine,machine
note,note
warten,wait
Plan,plan
Abbildung,figure
Stern,star
Kasten,box
Nomen,noun
Feld,field
Rest,rest
richtig,correct
fähig,able
Pfund,pound
getan,done
Schönheit,beauty
Antriebs,drive
stand,stood
enthalten,contain
Front,front
lehren,teach
Woche,week
Finale,final
gab,gave
grün,green
oh,oh
schnell,quick
entwickeln,develop
Ozean,ocean
warme,warm
kostenlos,free
Minute,minute
stark,strong
besondere,special
Geist,mind
hinter,behind
klar,clear
Schwanz,tail
produzieren,produce
Tatsache,fact
Raum,space
gehört,heard
beste,best
Stunde,hour
besser,better
wahr,TRUE
während,during
hundert,hundred
fünf,five
merken,remember
Schritt,step
früh,early
halten,hold
Westen,west
Boden,ground
Interesse,interest
erreichen,reach
schnell,fast
Verbum,verb
singen,sing
hören,listen
sechs,six
Tabelle,table
Reise,travel
weniger,less
Morgen,morning
zehn,ten
einfach,simple
mehrere,several
Vokal,vowel
auf,toward
Krieg,war
legen,lay
gegen,against
Muster,pattern
schleppend,slow
Zentrum,center
Liebe,love
Person,person
Geld,money
dienen,serve
erscheinen,appear
Straße,road
Karte,map
regen,rain
Regel,rule
regieren,govern
ziehen,pull
Kälte,cold
Hinweis,notice
Stimme,voice
